champion,lane_opponent,role,n_games,n_wins,winrate,lane_minions_first_10_minutes,max_cs_advantage_on_lane_opponent,max_level_lead_lane_opponent,turret_plates_taken,solo_kills,deaths,overall_n_games,overall_n_wins,overall_avg_lane_minions_first_10_minutes,overall_avg_max_cs_advantage_on_lane_opponent,overall_avg_max_level_lead_lane_opponent,overall_avg_turret_plates_taken,overall_avg_solo_kills,overall_avg_deaths,overall_winrate,normalized_lane_minions_first_10_minutes,normalized_max_cs_advantage_on_lane_opponent,normalized_max_level_lead_lane_opponent,normalized_turret_plates_taken,normalized_solo_kills,normalized_deaths
Aatrox,Ahri,TOP,11,4,0.36363636363636365,65.18181818181819,23.818181818181817,1.7272727272727273,2.4545454545454546,1.7272727272727273,5.454545454545454,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4793388429752067,0.25177782048817987,0.4710743801652893,0.525974025974026,0.22529644268774704,0.4258373205741628
Aatrox,Akali,TOP,51,28,0.5490196078431373,66.45098039215686,33.490196078431374,1.9803921568627452,1.9019607843137254,2.392156862745098,5.0,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5059646236116825,0.35401898602993,0.5401069518716578,0.407563025210084,0.31202046035805625,0.4736842105263158
Aatrox,Akshan,TOP,12,7,0.5833333333333334,67.08333333333333,16.166666666666668,1.1666666666666667,2.4166666666666665,1.6666666666666667,5.333333333333333,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.519230769230769,0.17089499647639184,0.31818181818181823,0.5178571428571428,0.21739130434782608,0.4385964912280702
Aatrox,Alistar,TOP,4,2,0.5,77.25,70.0,2.75,3.25,1.75,3.75,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.7325174825174824,0.7399577167019028,0.7500000000000001,0.6964285714285714,0.22826086956521738,0.6052631578947368
Aatrox,Amumu,TOP,3,3,1.0,76.66666666666667,41.0,2.6666666666666665,4.666666666666667,2.6666666666666665,2.6666666666666665,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.7202797202797203,0.4334038054968288,0.7272727272727273,1.0,0.34782608695652173,0.7192982456140351
Aatrox,Anivia,TOP,4,2,0.5,72.25,31.0,1.75,2.25,3.5,4.75,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.6276223776223776,0.3276955602536998,0.47727272727272735,0.4821428571428571,0.45652173913043476,0.5
Aatrox,Annie,TOP,5,2,0.4,65.6,21.8,1.4,1.8,1.2,6.0,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.4881118881118879,0.23044397463002114,0.38181818181818183,0.3857142857142857,0.15652173913043477,0.368421052631579
Aatrox,Aphelios,TOP,3,2,0.6666666666666666,66.0,67.0,3.6666666666666665,3.3333333333333335,7.666666666666667,5.0,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.49650349650349634,0.7082452431289641,1.0,0.7142857142857143,1.0,0.4736842105263158
Aatrox,Ashe,TOP,3,1,0.3333333333333333,50.0,7.666666666666667,1.0,0.6666666666666666,1.3333333333333333,7.333333333333333,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.16083916083916072,0.08104298801973221,0.27272727272727276,0.14285714285714285,0.17391304347826086,0.22807017543859653
Aatrox,AurelionSol,TOP,2,1,0.5,68.5,15.0,1.0,2.5,0.5,4.0,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5489510489510488,0.15856236786469344,0.27272727272727276,0.5357142857142857,0.06521739130434782,0.5789473684210527
Aatrox,Aurora,TOP,77,40,0.5194805194805194,59.20779220779221,22.25974025974026,1.4415584415584415,1.5324675324675325,1.9870129870129871,4.974025974025974,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.3540096267368994,0.23530380824249744,0.39315230224321135,0.32838589981447125,0.25917560700169395,0.47641831852358174
Aatrox,Azir,TOP,4,4,1.0,67.25,25.75,1.25,2.5,1.25,4.25,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5227272727272726,0.27219873150105706,0.34090909090909094,0.5357142857142857,0.16304347826086957,0.5526315789473685
Aatrox,Bard,TOP,3,2,0.6666666666666666,77.66666666666667,83.0,2.6666666666666665,3.0,1.0,5.666666666666667,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.7412587412587414,0.8773784355179705,0.7272727272727273,0.6428571428571428,0.13043478260869565,0.4035087719298246
Aatrox,Belveth,TOP,4,4,1.0,63.0,28.25,2.5,3.5,4.75,4.75,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.43356643356643343,0.2986257928118393,0.6818181818181819,0.75,0.6195652173913043,0.5
Aatrox,Blitzcrank,TOP,1,1,1.0,47.0,4.0,1.0,2.0,2.0,8.0,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.0979020979020978,0.042283298097251586,0.27272727272727276,0.42857142857142855,0.2608695652173913,0.1578947368421053
Aatrox,Brand,TOP,5,3,0.6,70.6,32.0,2.6,2.4,2.0,3.4,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5930069930069929,0.3382663847780127,0.7090909090909092,0.5142857142857142,0.2608695652173913,0.6421052631578947
Aatrox,Braum,TOP,6,3,0.5,68.33333333333333,27.333333333333332,1.8333333333333333,2.6666666666666665,1.3333333333333333,4.666666666666667,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5454545454545453,0.28893587033121915,0.5,0.5714285714285714,0.17391304347826086,0.5087719298245614
Aatrox,Briar,TOP,10,4,0.4,70.8,47.9,2.5,2.7,3.9,5.5,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.597202797202797,0.5063424947145877,0.6818181818181819,0.5785714285714286,0.508695652173913,0.42105263157894735
Aatrox,Caitlyn,TOP,4,3,0.75,67.25,22.25,1.75,2.0,1.0,4.0,6781,4046,67.8190532369857,30.779531042619084,1.8942633829818611,2.2097035835422503,2.3635157056481346,5.043651378852677,0.5966671582362484,0.5227272727272726,0.23520084566596194,0.47727272727272735,0.42857142857142855,0.13043478260869565,0.5789473684210527
